Date,week_num,A,B,C,D
30/07/2019,761,0,0,0,0
06/08/2019,762,0,1,0,0
13/08/2019,763,1,0,0,0
20/08/2019,764,0,0,0,0
27/08/2019,765,0,1,0,0
03/09/2019,766,0,0,0,0
10/09/2019,767,0,0,0,0
17/09/2019,768,0,0,0,0
24/09/2019,769,0,0,0,0
01/10/2019,770,0,0,1,0
08/10/2019,771,0,1,0,0
15/10/2019,772,0,0,0,0
22/10/2019,773,0,0,0,0
29/10/2019,774,0,0,0,0
05/11/2019,775,0,0,0,0
12/11/2019,776,0,0,0,0
19/11/2019,777,0,0,0,0
26/11/2019,778,0,0,0,0
03/12/2019,779,0,0,0,0
10/12/2019,780,0,0,0,0
17/12/2019,781,0,0,0,0
24/12/2019,782,0,0,0,0
31/12/2019,783,0,0,0,0
07/01/2020,784,0,0,0,0
14/01/2020,785,0,0,0,0
21/01/2020,786,0,0,0,0
28/01/2020,787,0,1,0,0
04/02/2020,788,0,0,0,0
11/02/2020,789,0,0,0,0
18/02/2020,790,0,0,0,0
25/02/2020,791,0,0,0,0
03/03/2020,792,0,0,0,0
10/03/2020,793,0,0,0,0
17/03/2020,794,0,0,0,0
24/03/2020,795,0,0,0,0
31/03/2020,796,0,0,0,0
07/04/2020,797,0,1,0,0
14/04/2020,798,0,1,0,0
21/04/2020,799,0,0,0,0
28/04/2020,800,0,1,0,0
05/05/2020,801,0,0,0,0
12/05/2020,802,0,1,0,0
19/05/2020,803,0,0,1,0
26/05/2020,804,0,0,0,0
02/06/2020,805,0,0,0,0
09/06/2020,806,0,0,1,0
16/06/2020,807,0,1,0,0
23/06/2020,808,0,0,0,0
30/06/2020,809,0,0,0,0
07/07/2020,810,0,0,0,0
14/07/2020,811,0,1,0,0
21/07/2020,812,0,0,0,0
28/07/2020,813,0,1,0,0
04/08/2020,814,0,0,0,0
11/08/2020,815,0,0,0,0
18/08/2020,816,0,0,0,0
25/08/2020,817,0,0,0,1
01/09/2020,818,0,1,0,0
08/09/2020,819,0,0,0,0
15/09/2020,820,0,0,0,0
22/09/2020,821,0,1,0,0
29/09/2020,822,0,0,0,0
06/10/2020,823,0,0,0,0
13/10/2020,824,0,0,0,0
20/10/2020,825,0,0,0,0
27/10/2020,826,0,0,1,0
03/11/2020,827,0,0,1,0
10/11/2020,828,0,0,2,0
17/11/2020,829,0,0,0,0
24/11/2020,830,0,0,0,0
01/12/2020,831,0,0,0,0
08/12/2020,832,1,0,0,0
15/12/2020,833,0,0,0,0
22/12/2020,834,0,0,0,0
29/12/2020,835,0,0,0,0
05/01/2021,836,0,0,0,0
12/01/2021,837,0,0,0,0
19/01/2021,838,0,0,0,0
26/01/2021,839,0,0,0,0
02/02/2021,840,0,0,1,0
09/02/2021,841,0,0,0,0
16/02/2021,842,0,0,0,0
23/02/2021,843,0,0,0,0
02/03/2021,844,0,0,0,0
09/03/2021,845,0,0,0,0
16/03/2021,846,1,0,0,0
23/03/2021,847,0,0,0,0
30/03/2021,848,0,0,0,0
06/04/2021,849,0,0,1,0
13/04/2021,850,1,0,0,0
