Isolate,Isolate,level 1,level 2,Isolate,cluster_A,cluster_B,,,,,,,,Isolate
SBV219_plate03|2019.10136986301,SBV219,3,8,SBV219_plate03|2019.10136986301,C,H,,,,,,,,SBV219
SBV220_plate03|2019.1397260274,SBV220,3,8,SBV220_plate03|2019.1397260274,C,H,,,,,,,,SBV220
SBV221_plate03|2019.20821917808,SBV221,2,4,SBV221_plate03|2019.20821917808,B,D,,,,,,,,SBV221
SBV222_plate03|2019.42739726027,SBV222,2,5,SBV222_plate03|2019.42739726027,B,E,,,,,,,,SBV222
SBV224_plate03|2019.25753424658,SBV224,2,5,SBV224_plate03|2019.25753424658,B,E,,,,,,,,SBV224
SBV225_plate03|2019.30684931507,SBV225,3,8,SBV225_plate03|2019.30684931507,C,H,,,,,,,,SBV225
SBV226_plate03|2019.34520547945,SBV226,3,8,SBV226_plate03|2019.34520547945,C,H,,,,,,,,SBV226
SBV227_plate03|2019.65753424658,SBV227,3,8,SBV227_plate03|2019.65753424658,C,H,,,,,,,,SBV227
SBV228_plate03|2019.40547945205,SBV228,2,4,SBV228_plate03|2019.40547945205,B,D,,,,,,,,SBV228
SBV229_plate03|2019.36164383562,SBV229,3,8,SBV229_plate03|2019.36164383562,C,H,,,,,,,,SBV229
SBV230_plate03|2019.43835616438,SBV230,3,8,SBV230_plate03|2019.43835616438,C,H,,,,,,,,SBV230
SBV231_plate03|2019.45753424658,SBV231,3,8,SBV231_plate03|2019.45753424658,C,H,,,,,,,,SBV231
SBV232_plate03|2019.50410958904,SBV232,3,8,SBV232_plate03|2019.50410958904,C,H,,,,,,,,SBV232
SBV233_plate03|2019.5397260274,SBV233,3,8,SBV233_plate03|2019.5397260274,C,H,,,,,,,,SBV233
SBV234_plate05|2019.55342465753,SBV234,3,8,SBV234_plate05|2019.55342465753,C,H,,,,,,,,SBV234
SBV235_plate05|2019.42739726027,SBV235,3,8,SBV235_plate05|2019.42739726027,C,H,,,,,,,,SBV235
SBV236_plate03|2019.61369863014,SBV236,3,8,SBV236_plate03|2019.61369863014,C,H,,,,,,,,SBV236
SBV237_plate03|2019.61917808219,SBV237,2,5,SBV237_plate03|2019.61917808219,B,E,,,,,,,,SBV237
SBV238_plate03|2019.84383561644,SBV238,3,8,SBV238_plate03|2019.84383561644,C,H,,,,,,,,SBV238
SBV239_plate03|2019.15068493151,SBV239,3,8,SBV239_plate03|2019.15068493151,C,H,,,,,,,,SBV239
